C,n_structures,symmetry_mode,bond_mean_mean,bond_mean_std,r_mean_mean,r_mean_std,asphericity_mean,asphericity_std,rg_mean,rg_std
20,1,Ih,1.3914339988883309,0.0,1.9494896952042609,0.0,0.00012850393958243746,0.0,1.9495842176282103,0.0
24,1,D6d,1.3919961561588097,0.0,2.157669502258235,0.0,0.03038537785729453,0.0,2.166068359486549,0.0
26,1,D3h,1.3908079770207442,0.0,2.2487142304897354,0.0,0.018660183906568623,0.0,2.253233590739733,0.0
28,2,D2,1.4052726712776007,0.014758716927881887,2.3601887499403436,0.016888624005489294,0.015679384877650776,0.015679267483918968,2.365286352311606,0.013795570940679402
30,3,C2v,1.3904847294994642,0.0003359406676809075,2.4306815444072902,0.009046078926003719,0.039999756982521284,0.02500868240016457,2.441897430776676,0.015566979879362714
32,6,C2,1.390172415249004,0.00032944612528721013,2.5149539196788746,0.008576875203189087,0.044015365424154795,0.0228646106341883,2.5280056041485106,0.014962104251869056
34,6,C2,1.389838683118038,0.0001897143147082152,2.5898460110613324,0.0059147302530053875,0.032512331448575536,0.0158007175003704,2.600222078410644,0.01064383355091775
36,15,C2,1.3899198033299454,0.000981867810379603,2.669136187637896,0.012060853173418947,0.039758500279047954,0.033938665752686774,2.6828004769047373,0.023410917484564444
38,17,C1,1.3914862037951274,0.007153824746889064,2.748712038050592,0.017554709750798363,0.04537417367921976,0.03880731385984265,2.7647930532422897,0.028848413914031017
40,40,C2,1.389528542247533,0.0005261487099532221,2.8215844654636855,0.020068895474443613,0.051150098946209546,0.04510101302514627,2.840113258961831,0.03532870276934097
42,45,C1,1.389331414911916,0.00032451521494183597,2.890626643140074,0.012774737674154978,0.048015169119377046,0.030924201089787568,2.9085269356842156,0.023553727093712604
44,89,C1,1.38969018430842,0.0033018142402822383,2.963538510841479,0.020914416464419622,0.0557443275027326,0.04562263789784801,2.985206597109813,0.0373589563212777
46,116,C1,1.3891260373822676,0.0003487172764618259,3.02885590141871,0.01596856041098361,0.051805625846428976,0.036861530046285444,3.04953233810327,0.029564616995415557
48,199,C1,1.3890679246851054,0.0005965384390846404,3.0968561446445975,0.019512494726336503,0.056235028655670406,0.042143719545458515,3.1199838675519134,0.03581256060759601
50,271,C1,1.3891222009194648,0.0019474482166891242,3.162516072145676,0.024916355411260083,0.057360470682815703,0.04869984130909212,3.1867088366966385,0.04420124510351262
52,437,C1,1.3889088089697526,0.00043684058437093383,3.225959512121263,0.021324395566293338,0.058733825649935324,0.04424670501551517,3.2513806381160397,0.039255441176869986
60,1,Ih,1.3892370455169258,0.0,3.4424734493904574,0.0,1.2240144455942786e-06,0.0,3.442486946844453,0.0
70,1,D5h,1.3891799606382966,0.0,3.724830215492617,0.0,0.008828673498536749,0.0,3.728968687290614,0.0
72,1,D6d,1.388885915373959,0.0,3.782695014564158,0.0,0.01912172726143767,0.0,3.792119019679057,0.0
74,1,D3h,1.3891368549365828,0.0,3.8274992814707094,0.0,0.0011991598486062111,0.0,3.8283673281525497,0.0
76,2,D2,1.3890657988797157,7.363727314102508e-05,3.8816631544688356,0.0030511516116471515,0.00713087873353737,0.007124729492500717,3.8853636711853023,0.006593571324688519
78,5,C2v,1.3889782956272212,0.00015078152242642504,3.934490540234421,0.0032716940842518003,0.011469824520882167,0.00765935881595449,3.940254147689072,0.007041322107962833
80,6,C2v,1.3890376062725724,0.00012010991024953002,3.9854454598869427,0.005569588718117306,0.012138096244123384,0.012266616875842769,3.991777907912604,0.011700441791287739
82,9,C2,1.3889891337252653,0.0001127930734397633,4.031874562658066,0.0020421294120532866,0.004623093316789662,0.0044632817767453255,4.03451020364666,0.004436365648426842
84,24,C2,1.388897711298122,0.0001277911274924945,4.081629339292475,0.0038561175704763936,0.0059647581106234875,0.008093935946931936,4.08496007430781,0.00807943535618753
86,19,C1,1.388879571139084,8.053388305216863e-05,4.1316472865940534,0.003449937466436457,0.009095504791541906,0.007649057368365537,4.136792766581107,0.007473211562177372
90,46,C1,1.3887888028059436,0.00012749949990766376,4.229690579600544,0.005598654139400781,0.01411486971105648,0.011511486798821847,4.237695185785387,0.011764140598211074
92,86,C1,1.3887938006572482,8.404579560180878e-05,4.2757822258412865,0.0047447176630971075,0.0125636054484747,0.009919204977240357,4.28306466901008,0.010248346454772269
94,134,C1,1.3887467558595985,9.384127175812415e-05,4.322277969931081,0.00411727327228168,0.012699276210651152,0.00855815220090366,4.329804716677172,0.008951763883669613
96,187,C1,1.3891479173321328,0.004213323299639329,4.370550343081326,0.012783038468129133,0.015025839814896538,0.011819413653223849,4.379535547588935,0.017037879622631296
98,259,C1,1.3887102589514793,9.014401826840207e-05,4.414136617692206,0.004752006702206239,0.013692022814983149,0.00995077785076625,4.422430373921056,0.010484396091563269
100,450,C1,1.3886785909517636,0.0001007111832984355,4.460285826460128,0.0056236820655419135,0.016001359008766234,0.011331967362365086,4.470052408432093,0.012137573131313412
180,1,0,1.388694040731916,0.0,5.980314320934594,0.0,6.706899714157028e-07,0.0,5.980316550396836,0.0
240,1,0,1.388937076599272,0.0,6.906997718054744,0.0,1.4616981128186866e-07,0.0,6.907001532992112,0.0
260,1,0,1.3887434558476501,0.0,7.189562323209774,0.0,1.5061526569819606e-07,0.0,7.189571483652019,0.0
320,1,0,1.388659687564757,0.0,7.977358578018761,0.0,3.8669074979353847e-07,0.0,7.977386383220545,0.0
500,1,0,1.3887197335785177,0.0,9.973178293473808,0.0,9.698834977266301e-08,0.0,9.97332851015421,0.0
540,1,0,1.3888328983851992,0.0,10.364450349671316,0.0,2.696576452043912e-08,0.0,10.364623899311152,0.0
720,1,0,1.3888384368576152,0.0,11.967095615256104,0.0,3.440870091228401e-08,0.0,11.967600308793553,0.0
